Cm,Ch,Bm,Bh,T,R,G,B
0,0.002,0.6,0,0.106,163.7,153.35,158.71
0,0.002,0.6,0,0.154,167.12,154.53,161.13
0,0.002,0.6,0,0.202,169.3,156.8,163.86
0,0.002,0.6,0,0.25,169.43,157.4,166.75
0,0.002,0.6,0.2,0.01,155.36,146.47,147.25
0,0.002,0.6,0.2,0.058,159.69,149.86,153.84
0,0.002,0.6,0.2,0.106,163.53,152.81,157.35
0,0.002,0.6,0.2,0.154,166.81,155.24,159.88
0,0.002,0.6,0.2,0.202,167.78,158.07,163.1
0,0.002,0.6,0.2,0.25,164.08,154.18,162.4
0,0.002,0.6,0.4,0.01,152.18,144.47,144.85
0,0.002,0.6,0.4,0.058,155.41,147.04,150.75
0,0.002,0.6,0.4,0.106,158.09,150.33,155.26
0,0.002,0.6,0.4,0.154,161.03,151.69,156.87
0,0.002,0.6,0.4,0.202,163.1,153.17,159.84
0,0.002,0.6,0.4,0.25,165.46,153.59,162.91
0,0.002,0.6,0.6,0.01,154.46,142,145.03
0,0.002,0.6,0.6,0.058,158.26,148.6,152.39
0,0.002,0.6,0.6,0.106,160.94,150.34,157.28
0,0.002,0.6,0.6,0.154,163.26,153.55,160.41
0,0.002,0.6,0.6,0.202,165.92,155.77,162.81
0,0.002,0.6,0.6,0.25,168.19,156.21,165.35
0,0.002,0.6,0.8,0.01,154.01,142.66,145.62
0,0.002,0.6,0.8,0.058,159.86,149.21,151.05
0,0.002,0.6,0.8,0.106,164.44,151.94,155.74
0,0.002,0.6,0.8,0.154,166.32,154.09,158.88
0,0.002,0.6,0.8,0.202,169.42,155.41,162.43
0,0.002,0.6,0.8,0.25,170.41,158.5,163.95
0,0.002,0.6,1,0.01,154.84,145.25,145.11
0,0.002,0.6,1,0.058,160.75,148.92,152.07
0,0.002,0.6,1,0.106,164.09,151.36,156.17
0,0.002,0.6,1,0.154,165.79,154.52,158.63
0,0.002,0.6,1,0.202,167.68,154.53,162.2
0,0.002,0.6,1,0.25,169.93,156.88,164.25
0,0.002,0.8,0,0.01,156.19,146.71,147.91
0,0.002,0.8,0,0.058,159.23,150.69,154.41
0,0.002,0.8,0,0.106,162.47,153.24,158.71
0,0.002,0.8,0,0.154,165.86,154.53,161.46
0,0.002,0.8,0,0.202,162.51,155.92,162.57
0,0.002,0.8,0,0.25,165.6,154.28,161.86
0,0.002,0.8,0.2,0.01,151.81,141.58,142.61
0,0.002,0.8,0.2,0.058,156.87,143.99,149.61
0,0.002,0.8,0.2,0.106,158.13,148.81,154.82
0,0.002,0.8,0.2,0.154,161.21,151.52,157.85
0,0.002,0.8,0.2,0.202,163.3,153.37,160.13
0,0.002,0.8,0.2,0.25,165.16,154.74,161.71
0,0.002,0.8,0.4,0.01,150.2,140.23,144.03
0,0.002,0.8,0.4,0.058,154.87,146.58,151.94
0,0.002,0.8,0.4,0.106,158.11,150,156.89
0,0.002,0.8,0.4,0.154,160.22,151.72,159.52
0,0.002,0.8,0.4,0.202,162.07,155.72,160.86
0,0.002,0.8,0.4,0.25,164.76,159.07,163.11
0,0.002,0.8,0.6,0.01,149.38,140.35,143.34
0,0.002,0.8,0.6,0.058,154.13,145.96,150.62
0,0.002,0.8,0.6,0.106,162.71,154.06,156.26
0,0.002,0.8,0.6,0.154,163.98,155.72,159.22
0,0.002,0.8,0.6,0.202,165.13,158,160.54
0,0.002,0.8,0.6,0.25,166.74,159.88,162.97
0,0.002,0.8,0.8,0.01,156.19,147.47,143.64
0,0.002,0.8,0.8,0.058,158.96,151.56,150.38
0,0.002,0.8,0.8,0.106,161.65,153.65,154.53
0,0.002,0.8,0.8,0.154,162.49,153.03,158.54
0,0.002,0.8,0.8,0.202,166.01,154.18,163.42
0,0.002,0.8,0.8,0.25,168.26,156.62,164.33
0,0.002,0.8,1,0.01,152.57,145.55,144.76
0,0.002,0.8,1,0.058,157.12,148.18,151.86
0,0.002,0.8,1,0.106,161.75,151.31,156.44
0,0.002,0.8,1,0.154,163.76,152.54,158.79
0,0.002,0.8,1,0.202,164.71,154.45,162.9
0,0.002,0.8,1,0.25,166.63,155.83,161.99
0,0.002,1,0,0.01,154.01,143.73,147.19
0,0.002,1,0,0.058,156.82,146.63,152.92
0,0.002,1,0,0.106,160.55,148.88,157.66
0,0.002,1,0,0.154,163.57,151.33,160.86
0,0.002,1,0,0.202,164.75,153.89,163.37
0,0.002,1,0,0.25,166.66,155.26,164.01
0,0.002,1,0.2,0.01,150.13,144.55,147.17
0,0.002,1,0.2,0.058,156.6,150.5,153.65
0,0.002,1,0.2,0.106,159.72,153.3,155.21
0,0.002,1,0.2,0.154,161.42,155.67,158.45
0,0.002,1,0.2,0.202,165.96,156.49,161.14
0,0.002,1,0.2,0.25,166.49,157.78,162.94
0,0.002,1,0.4,0.01,149.24,146.45,145.53
0,0.002,1,0.4,0.058,158.11,150.92,151.53
0,0.002,1,0.4,0.106,161.03,150.44,159.38
0,0.002,1,0.4,0.154,164.67,154.12,162.76
0,0.002,1,0.4,0.202,165.24,157.07,164.36
0,0.002,1,0.4,0.25,167.91,158.26,166.35
0,0.002,1,0.6,0.01,154.13,143.99,147.14
0,0.002,1,0.6,0.058,157.83,147.23,154.63
0,0.002,1,0.6,0.106,160.78,150.61,157.01
0,0.002,1,0.6,0.154,162.08,155.69,160.41
0,0.002,1,0.6,0.202,166.04,157.71,163.85
0,0.002,1,0.6,0.25,164.78,159.7,164.32
0,0.002,1,0.8,0.01,154.77,145.75,146
0,0.002,1,0.8,0.058,159.16,151.1,153.82
0,0.002,1,0.8,0.106,160.06,153.36,156.83
0,0.002,1,0.8,0.154,160.97,156.18,159.9
0,0.002,1,0.8,0.202,163.33,159.27,161.94
0,0.002,1,0.8,0.25,166.12,160.53,163.88
0,0.002,1,1,0.01,151.43,147.83,146.88
0,0.002,1,1,0.058,155.85,151.42,153.58
0,0.002,1,1,0.106,158.83,154.94,156.99
0,0.002,1,1,0.154,162.18,157.01,159.4
0,0.002,1,1,0.202,163.06,159.41,161.71
0,0.002,1,1,0.25,165.76,156.85,163.26
0,0.026,0,0,0.01,143.58,124.69,110.14
0,0.026,0,0,0.058,150.48,132.31,127.44
